Name en-US,Name zh-CN,Alias en-US,Alias zh-CN,Group en-US,Group zh-CN,Subgroup en-US,Subgroup zh-CN,Video FX,Transition FX,Media Generator FX,Composite Mode FX,UID
Ignite Shatter,Ignite 破碎器,,,Ignite Pro,Ignite Pro,Ignite - Particles & Simulation,Ignite - 粒子与仿真,√,,,,{Svfx:com.FXHOME.HitFilm.Shatter}
Ignite Smoke Distortion,Ignite 烟雾扭曲,,,Ignite Pro,Ignite Pro,Ignite - Distort,Ignite - 扭曲,√,,,,{Svfx:com.FXHOME.HitFilm.SmokeDistortion}
Ignite Solarize,Ignite 底片曝光,,,Ignite Pro,Ignite Pro,Ignite - Stylize,Ignite - 风格化,√,,,,{Svfx:com.FXHOME.HitFilm.Solarize}
Ignite Speed,Ignite 速度(重映射),,,Ignite Pro,Ignite Pro,Ignite - Temporal,Ignite - 时间,√,,,,{Svfx:com.FXHOME.HitFilm.Speed}
Ignite Sphere,Ignite 球体,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.Sphere}
Ignite Spherical Warp,Ignite 球面/鱼眼变形,,,Ignite Pro,Ignite Pro,Ignite - Warp,Ignite - 变形,√,,,,{Svfx:com.FXHOME.HitFilm.FisheyeWarp}
Ignite Spill Removal,Ignite 溢出移除,,,Ignite Pro,Ignite Pro,Ignite - Keying - Matte Enhancement,Ignite - 键控 - 蒙版增强,√,,,,{Svfx:com.FXHOME.HitFilm.SpillRemoval}
Ignite Stutter,Ignite 帧卡顿/卡帧,,,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.Stutter}
Ignite Super Glow,Ignite 超级发光,,,Ignite Pro,Ignite Pro,Ignite - Lights & Flares,Ignite - 灯光与耀斑,√,,,,{Svfx:com.FXHOME.HitFilm.GlowImproved}
Ignite Text,Ignite 文字,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.Text}
Ignite Three Strip Color,Ignite 3-strip色彩,HitFilm Three Strip Color,HitFilm Three Strip Color,Ignite Pro,Ignite Pro,Ignite - Color Grading,Ignite - 颜色分级,√,,,,{Svfx:com.FXHOME.HitFilm.ThreeStripColor}
Ignite Threshold,Ignite 双色化阈值,,,Ignite Pro,Ignite Pro,Ignite - Stylize,Ignite - 风格化,√,,,,{Svfx:com.FXHOME.HitFilm.Threshold}
Ignite Tile,Ignite 平铺/拼贴/电视墙,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,,,{Svfx:com.FXHOME.HitFilm.Tiles}
Ignite Time Displacement,Ignite 时间置换,,,Ignite Pro,Ignite Pro,Ignite - Temporal,Ignite - 时间,√,,,√,{Svfx:com.FXHOME.HitFilm.TimeDispalcement}
Ignite Time Reverse,Ignite 时间反转/倒放,,,Ignite Pro,Ignite Pro,Ignite - Temporal,Ignite - 时间,√,,,,{Svfx:com.FXHOME.HitFilm.Reverse}
Ignite Timecode,Ignite 时间码,,,Ignite Pro,Ignite Pro,Ignite - Generate,Ignite - 生成,√,,√,,{Svfx:com.FXHOME.HitFilm.Timecode}
Ignite Tint,Ignite 双色调着色,,,Ignite Pro,Ignite Pro,Ignite - Stylize,Ignite - 风格化,√,,,,{Svfx:com.FXHOME.HitFilm.Tint}
Ignite TV Damage,Ignite 电视损坏,HitFilm TV Damage,HitFilm TV Damage,Ignite Pro,Ignite Pro,Ignite - Grunge,Ignite - 杂乱,√,,,,{Svfx:com.FXHOME.HitFilm.TVDamage}
Ignite Twirl,Ignite 旋涡,,,Ignite Pro,Ignite Pro,Ignite - Distort,Ignite - 扭曲,√,,,,{Svfx:com.FXHOME.HitFilm.Twirl}
Ignite Two Strip Color,Ignite 2-strip色彩,,,Ignite Pro,Ignite Pro,Ignite - Color Grading,Ignite - 颜色分级,√,,,,{Svfx:com.FXHOME.HitFilm.TwoStripColor}
